	zmp_ph133_B	zmp_ph133_D	zmp_ph133_E	zmp_ph133_F	zmp_ph133_G	zmp_ph128_B	zmp_ph128_C	zmp_ph128_D	zmp_ph128_E	zmp_ph128_F	zmp_ph129_B	zmp_ph129_C	zmp_ph129_D	zmp_ph129_E	zmp_ph129_G	zmp_ph131_B	zmp_ph131_C	zmp_ph131_D	zmp_ph131_E	zmp_ph131_F	zmp_ph127_B	zmp_ph127_C	zmp_ph127_D	zmp_ph127_E	zmp_ph127_F	zmp_ph115_B	zmp_ph115_C	zmp_ph115_D	zmp_ph115_E	zmp_ph115_F	zmp_ph123_B	zmp_ph123_C	zmp_ph123_D	zmp_ph123_F	zmp_ph123_G	zmp_ph124_B	zmp_ph124_C	zmp_ph124_D	zmp_ph124_E	zmp_ph124_F	zmp_ph130_B	zmp_ph130_C	zmp_ph130_D	zmp_ph130_E	zmp_ph130_F	zmp_ph125_B	zmp_ph125_C	zmp_ph125_D	zmp_ph125_E	zmp_ph125_F	zmp_ph126_B	zmp_ph126_C	zmp_ph126_D	zmp_ph126_E	zmp_ph126_F	zmp_ph116_A	zmp_ph116_B	zmp_ph116_C	zmp_ph116_D	zmp_ph116_F	zmp_ph117_A	zmp_ph117_C	zmp_ph117_D	zmp_ph117_E	zmp_ph117_F	zmp_ph118_B	zmp_ph118_C	zmp_ph118_D	zmp_ph118_E	zmp_ph118_F	zmp_ph119_A	zmp_ph119_B	zmp_ph119_C	zmp_ph119_D	zmp_ph119_E	zmp_ph120_A	zmp_ph120_B	zmp_ph120_C	zmp_ph120_D	zmp_ph120_E	zmp_ph121_A	zmp_ph121_B	zmp_ph121_C	zmp_ph121_D	zmp_ph121_E	zmp_ph122_A	zmp_ph122_B	zmp_ph122_C	zmp_ph122_D	zmp_ph122_F
ERCC-00024	1	0	1	1	5	0	3	0	1	3	2	1	1	1	1	0	1	0	0	2	0	1	1	1	0	2	0	1	3	1	1	2	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0
ERCC-00025	620	564	642	568	410	594	483	542	543	533	338	206	282	445	182	254	246	185	246	230	328	374	455	285	335	278	240	271	263	230	331	260	289	272	330	189	184	175	304	157	163	108	127	166	155	166	181	206	164	177	208	260	144	93	132	59	58	81	107	54	77	99	72	96	85	75	105	102	80	86	56	70	91	68	131	55	61	72	75	100	50	46	77	65	52	55	41	42	36	56
ERCC-00028	11	8	8	6	6	7	10	7	4	5	2	2	5	6	0	1	4	2	1	4	3	3	3	5	7	5	6	2	4	1	3	3	4	4	1	6	4	2	2	1	3	1	1	1	2	0	4	4	1	1	4	5	3	3	3	1	1	0	1	0	2	0	0	2	0	0	0	0	1	2	6	1	2	0	2	2	0	2	1	0	0	0	1	1	0	0	1	0	0	0
ERCC-00031	18	6	13	13	11	13	11	12	12	7	6	3	5	18	6	8	6	4	7	4	12	8	7	5	9	9	3	5	8	4	7	6	6	6	10	2	5	2	1	6	4	4	2	6	3	4	3	6	4	3	4	4	6	0	4	2	1	4	2	2	1	4	2	2	3	2	3	1	3	3	1	2	0	3	2	0	1	0	2	2	4	2	0	2	1	1	1	0	0	1
ERCC-00033	3	4	7	2	1	5	3	1	1	2	1	1	4	2	2	4	1	1	1	2	3	2	2	0	0	3	3	2	1	2	2	0	3	1	3	1	0	2	2	4	3	0	0	1	2	0	1	1	1	2	1	3	0	1	1	0	0	1	1	1	0	1	2	0	1	0	2	4	1	1	0	0	1	1	2	1	2	1	0	0	0	1	0	0	0	0	0	2	1	2
ERCC-00034	110	100	144	104	91	103	88	110	100	89	65	41	46	76	37	63	57	39	41	50	53	73	74	59	65	50	52	43	35	41	47	53	48	58	50	39	24	23	58	33	35	25	19	26	25	34	36	21	22	27	50	59	25	12	30	13	12	16	19	14	13	16	17	18	20	18	26	16	10	12	10	8	14	22	25	12	17	12	10	24	11	7	17	13	16	7	11	7	8	6
ERCC-00035	585	535	721	559	440	606	483	505	477	529	356	230	277	475	169	264	236	197	235	245	360	394	483	299	315	292	263	290	228	221	366	267	281	285	319	191	174	182	286	159	162	113	128	152	150	200	227	191	162	151	209	221	156	104	141	68	44	84	95	60	67	73	70	69	83	80	104	95	95	79	61	62	61	90	144	65	53	60	95	84	56	46	56	54	38	39	48	46	29	49
ERCC-00039	40	26	41	39	29	41	31	33	32	37	13	15	18	24	7	17	25	14	9	14	20	25	35	13	16	17	16	20	11	11	26	20	22	20	12	6	11	10	22	14	7	6	10	18	7	11	14	9	7	11	11	12	11	6	12	5	2	5	6	2	6	5	6	4	4	6	3	6	4	6	6	4	4	5	6	4	2	2	3	3	2	3	3	6	3	3	4	3	0	1
ERCC-00040	6	6	10	9	7	10	2	10	6	6	5	4	0	8	6	2	2	4	1	5	8	4	4	4	8	1	3	4	4	4	8	5	4	3	7	8	1	5	6	1	0	3	1	3	0	2	5	3	4	3	3	3	5	0	0	0	3	3	3	0	0	1	0	0	3	1	1	0	1	1	0	4	0	2	3	0	0	0	2	1	0	0	0	0	4	1	0	0	1	1
ERCC-00041	3	3	5	2	0	4	0	5	3	3	2	0	4	2	1	2	0	1	2	1	1	1	3	0	0	3	0	2	0	5	1	1	3	2	4	2	1	0	5	1	2	0	0	0	1	0	1	1	1	2	1	0	0	2	0	0	0	1	1	0	0	3	0	1	1	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0
ERCC-00042	3565	3637	4652	4143	3692	4088	3476	3414	3218	3336	2209	1765	1876	3042	1394	2317	1853	1439	1687	1565	2446	2523	3608	2151	2173	2208	2034	1955	1707	1597	2627	1824	2125	2020	2196	1220	1291	1612	1976	1313	1254	1033	927	1328	1285	1248	1486	1414	1264	1377	1614	1795	1135	769	1027	531	422	828	744	413	576	579	517	614	655	730	840	669	693	605	482	564	553	619	907	533	450	472	607	669	431	368	450	444	367	374	365	397	274	381
